시설구분,시설명,주소,경도,위도,행정동
노인요양시설,드림요양원,천안시 서북구 성환읍 무내3길 15,127.1513989,36.94717367,성환읍
노인요양시설,북천안요양원,천안시 서북구 성환읍 성월수향길 30,127.1374003,36.92117221,성환읍
재가노인복지시설 주야간보호,북천안요양원부설주야간보호센터,천안시 서북구 성환읍 성월수향길 30,127.1374003,36.92117221,성환읍
노인요양공동생활가정,비타민2요양원,"천안시 서북구 성환읍 성환9길 9, 2층",127.1290247,36.91620261,성환읍
노인요양공동생활가정,비타민요양원,"천안시 서북구 성환읍 성환9길 9, 3층",127.1290247,36.91620261,성환읍
노인요양공동생활가정,비타민우리요양원,천안시 서북구 성환읍 성환9길 9 관성빌딩4층,127.1290247,36.91620261,성환읍
노인요양공동생활가정,성환사랑의마을,천안시 서북구 성환읍 매주4길 28,127.1276556,36.91217646,성환읍
재가노인복지시설 재가노인지원서비스,성환재가노인복지센터,천안시 서북구 성환읍 성환중앙로 24-7,127.1298996,36.91579283,성환읍
재가노인지원서비스,성환재가노인복지센터,천안시 서북구 성환읍 성환중앙로 24-7,127.1298996,36.91579283,성환읍
노인요양시설,쉴만한요양원2동,천안시 서북구 성환읍 무내3길 15,127.1513989,36.94717367,성환읍
공동생활가정,왕지교회복지원,천안시 서북구 성환읍 왕지4길 60,127.096822,36.91472316,성환읍
