이름,주소,도로명주소,위도,경도,category,주소_정제
신부문화공원,충남 천안시 동남구 신부동 460-4,,36.81806566,127.1561565,여행 > 공원,충남 천안시 동남구 신부동
청수호수공원,충남 천안시 동남구 청수동 270,충남 천안시 동남구 청수로 20,36.78719082,127.1499006,여행 > 공원 > 도시근린공원,충남 천안시 동남구 청수동
구성1공원,충남 천안시 동남구 구성동 435-1,,36.79760241,127.1621678,여행 > 공원,충남 천안시 동남구 구성동
천안삼거리공원 (2025년 9월 예정),충남 천안시 동남구 삼룡동 299-1,충남 천안시 동남구 충절로 410,36.78302454,127.1684039,여행 > 공원,충남 천안시 동남구 삼룡동
청수산림공원,충남 천안시 동남구 청수동 산 5-3,충남 천안시 동남구 풍세로 924-2,36.79137335,127.1516655,여행 > 공원 > 도시근린공원,충남 천안시 동남구 청수동
도솔공원,충남 천안시 동남구 신부동 119,충남 천안시 동남구 천안대로 844,36.82413689,127.1618796,여행 > 공원 > 도시근린공원,충남 천안시 동남구 신부동
신부2공원,충남 천안시 동남구 신부동 987,충남 천안시 동남구 신부8길 21,36.81557448,127.1612687,여행 > 공원,충남 천안시 동남구 신부동
청수제2공원,충남 천안시 동남구 청수동 264,,36.7899245,127.1557431,여행 > 공원,충남 천안시 동남구 청수동
청수1공원,충남 천안시 동남구 청수동 330,,36.78840452,127.1535105,여행 > 공원,충남 천안시 동남구 청수동
태조산공원,충남 천안시 동남구 유량동 6,충남 천안시 동남구 태조산길 261,36.82369851,127.191298,여행 > 공원,충남 천안시 동남구 유량동
천안생활체육공원,충남 천안시 동남구 청당동 976,충남 천안시 동남구 천안대로 357,36.77979462,127.1634723,여행 > 공원 > 도시근린공원,충남 천안시 동남구 청당동
천호지근린공원,충남 천안시 동남구 안서동,,36.8342016,127.1725965,여행 > 공원,충남 천안시 동남구 안서동
천호지생활체육공원,충남 천안시 동남구 신부동 16-119,,36.83035147,127.1705163,여행 > 공원 > 도시근린공원,충남 천안시 동남구 신부동
편지공원,충남 천안시 동남구 신부동 749,,36.82145225,127.1573537,여행 > 공원,충남 천안시 동남구 신부동
신부6공원,충남 천안시 동남구 신부동 542,,36.82365168,127.155437,여행 > 공원,충남 천안시 동남구 신부동
도솔광장 족구장,충남 천안시 동남구 신부동 124,충남 천안시 동남구 천안대로 844,36.82531227,127.1616322,여행 > 공원,충남 천안시 동남구 신부동
