시설명,소재지,설치년도,운동기구1,운동기구1 개수,운동기구2,운동기구2 개수,운동기구3,운동기구3 개수,운동기구4,운동기구4 개수,운동기구5,운동기구5 개수,운동기구6,운동기구6 개수,운동기구7,운동기구7 개수,경도,위도,소재지_짧음
하천변,청룡동 삼룡천2길 67,2015,공중걷기,1,파도타기,1.0,허리돌리기+등허리지압기,1.0,상체근육풀기,1.0,윗몸일으키기,1.0,0,0.0,0,0.0,127.160498968774,36.7966020920966,청룡동
노인회관,신안동 단대로 161-12,2016,허리돌리기,1,달리기,1.0,역기올리기,1.0,래그프래스,1.0,어깨근육풀기,1.0,0,0.0,0,0.0,127.167552172945,36.829084941416,신안동
마을공터,신안동 단대로 91-4,2021,하늘걷기+허리돌리기,1,싸이클링+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.160784877596,36.8300248585481,신안동
마을회관,성환읍 무내1길 27,2015,허리돌리기+등러리지압기,1,파도타기+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.152083439554,36.9454504539118,성환읍
마을회관,성환읍 도야길 29,2015,허리돌리기+등러리지압기,1,윗몸일으키기+등러리근육풀기,1.0,파도타기+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.163574340122,36.9462673394904,성환읍
마을공터,성환읍 수향리 55-2,2016,어깨유연성운동,1,공중걷기+노젓기,1.0,파도타기+오금펴기,1.0,허리돌리기+등러리지압기,1.0,상체근육풀기+로프당기기,1.0,싸이클링+달리기,1.0,0,0.0,127.152930592731,36.9397796162347,성환읍
경로당,성환읍 잠실길 95,2016,허리돌리기+등러리지압기,1,공중걷기+노젓기,1.0,파도타기+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.152655894617,36.95316754859,성환읍
마을공터,성환읍 우신리 24-30,2016,어깨유연성운동,1,공중걷기+노젓기,1.0,파도타기+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.119623384518,36.9229781302888,성환읍
아파트단지,성환읍 율금1길 221-34,2016,파도타기+오금펴기,1,공중걷기+노젓기,1.0,허리돌리기+등허리지압기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.099533872161,36.905497936579,성환읍
경로당,성환읍 안궁4길 9-14,2016,어깨유연성운동,1,파도타기+오금펴기,1.0,공중걷기+노젓기,1.0,허리돌리기+등허리지압기,1.0,0,0.0,0,0.0,0,0.0,127.128527528289,36.9634931179327,성환읍
아파트단지,성환읍 천안대로 1843,2016,노젓기+공중걷기,1,파도타기+오금펴기,1.0,어깨유연성운동,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.13539522797,36.9028130783493,성환읍
노인회관,성환읍 연암로 19,2017,몸통흔들기+큰팔돌리기,1,허리돌기기+공중걷기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.134367850684,36.9490856388091,성환읍
보건진료소,성환읍 가동길 14-2,2017,몸통흔들기+큰팔돌리기,1,허리돌리기+공중걷기,1.0,종아리맛사지+다리밀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.11502864714,36.9523479746645,성환읍
노인회관,성환읍 안궁2길 18-24,2018,큰활차돌리기+달리기,1,허리돌리기+공중걷기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.133524672383,36.9572362174927,성환읍
마을회관,성환읍 안궁2길 94,2017,몸통흔들기+공중걷기,1,큰팔돌리기+허리돌리기,1.0,종아리마사지+다리밀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.136302620214,36.9627068092097,성환읍
경로당,성환읍 매주2길 80,2017,몸통흔들기+큰팔돌리기,1,허리돌리기+공중걷기,1.0,종아리마사지+다리밀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.130863140122,36.9015523860662,성환읍
마을회관,성환읍 문화촌2길 7-14,2017,오금펴기+파도타기,1,공중걷기+노젓기,1.0,허리돌리기+어깨유연성운동,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.118213205885,36.9667293659126,성환읍
마을회관,성환읍 대령길 5-2,2017,파도타기+공중걷기,1,자전겉차기+허리돌리기,1.0,달리기+큰할차머신,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.152522553572,36.9661939329442,성환읍
마을회관,성환읍 양령1길 125,2017,공중걷기+허리돌리기,1,양팔줄당기기+큰활차,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.154576353807,36.9638237615594,성환읍
마을공터,성환읍 대홍리 356-12,2017,허리돌리기+등허리지압기,1,오금펴기+파도타기,1.0,공중걷기+노젓기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.140213237103,36.9380259283242,성환읍
노인회관,성환읍 신무길 37,2018,공중걷기+허리돌리기,1,큰활차머신+달리기,1.0,다리뻗치기+등허리지압기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.08164262722,36.9340389632881,성환읍
마을회관,성환읍 와룡길 60,2019,달리기+공중걷기,1,허리돌리기+어깨유연성운동,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.11740118431,36.9291911315554,성환읍
마을회관,성환읍 성환18길 11-45,2019,달리기+공중걷기,1,허리돌리기+어깨유연성운동,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.130522736585,36.9259271061668,성환읍
노인회관,성환읍 도감1길 1,2018,허리돌리기+공중걷기,1,큰활자머신+달리기,1.0,다리뻗치기+등허리지압기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.164037404021,36.9478755058411,성환읍
마을공터,성환읍 성환리 309-34,2021,싸이클+허리돌리기,1,공중걷기+어깨근육풀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.132886456079,36.9196065586678,성환읍
마을회관,성환읍 홍경길 98,2021,싸이클+허리돌리기,1,공중걷기+어깨근육풀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.139718514925,36.9458847411596,성환읍
마을회관,성환읍 성월1길 15-1,2021,자전거+허리돌리기,1,공중걷기+작은활차,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.142076443013,36.9131765269507,성환읍
마을회관,구룡동 280-2,2019,자전거타기+허리돌리기,1,달리기+공중걷기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.14894011374,36.7665660330764,구룡동
마을회관,유량동 406-99,2023,하늘걷기+허리돌리기,1,상체근육풀기+어깨근육풀기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.175362541243,36.8136488664168,유량동
마을회관,성환읍 신가리 340-3,2023,트윈트위스트,1,워밍암,1.0,크로스컨트리,1.0,레크프레스,1.0,0,0.0,0,0.0,0,0.0,127.113935959124,36.9496892825985,성환읍
등산로,성환읍 매주리 산8-1,2009,하늘걷기 ,1,달리기+상체근육풀기,1.0,트위스트머신,1.0,싯업머신,1.0,체스트풀머신,1.0,거꾸로매달리기,1.0,0,0.0,127.146586428504,36.906359938803,성환읍
아파트단지,성환읍 율금1길 276,2011,허리돌리기,1,어깨유연성운동,1.0,파도타기+오금펴기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.109374232073,36.9027473387101,성환읍
노인회관,성환읍 성환21길 23,2012,워밍암,1,크로스컨트리,1.0,트윈트위스트+트윈트위스트,1.0,0,0.0,0,0.0,0,0.0,0,0.0,127.126091338019,36.9191877480553,성환읍
마을공터,성환읍 양령리 90-42,2013,다리펴기,1,작은활차머신,1.0,노젓기,1.0,역기올리기,1.0,자유철봉,1.0,0,0.0,0,0.0,127.173718236308,36.9544804161333,성환읍
공원,성환읍 매주리 477-3,2013,파도타기,1,허리돌리기,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127.119010198622,36.907985791795,성환읍
